id,name,birthdate,deathdate
2996,Harry Beaumont,1888-02-10,12/22/66
2997,Harry Carey Jr.,5/16/21,12/27/12
2998,Harry Connick Jr.,9/11/67,
2999,Harry Elfont,4/5/68,
3000,Harry F. Millarde,1885-11-12,11/2/31
3001,Harry Gantz,,
3002,Harry Lennix,11/16/64,
3003,Harry Shearer,12/23/43,
3004,Harry Styles,2/1/94,
3005,Harry Treadaway,9/10/84,
3006,Hart Bochner,10/3/56,
3007,Haruma Miura,4/5/90,
3008,Harvey Fierstein,6/6/54,
3009,Harvey Korman,2/15/27,5/29/08
3010,Harvey Weinstein,3/19/52,
3011,Hassan Johnson,,
3012,Hattie McDaniel,1895-06-10,10/26/52
3013,Hayao Miyazaki,1/5/41,
3014,Hayden Christensen,4/19/81,
3015,Hayley Atwell,4/5/82,
3016,Hayley Cloake,,
3017,Hayley Kiyoko,4/3/91,
3018,Hayley Lovitt,,
3019,Hayley McFarland,3/29/91,
3020,Heath Ledger,4/4/79,1/22/08
3021,Heather Berman,,
3022,Heather Bucha,,
3023,Heather Burns,4/7/75,
3024,Heather Donahue,12/22/74,
3025,Heather Langenkamp,7/17/64,
3026,Heather Locklear,9/25/61,
3027,Heather Matarazzo,11/10/82,
3028,Heather Morris,2/1/87,
3029,Heather O'Rourke,12/27/75,2/1/88
3030,Heather Sossaman,4/25/87,
3031,Hector Echavarria,12/6/69,
3032,Hector Elizondo,12/22/36,
3033,Héctor Jiménez,12/14/73,
3034,Hector Kotsifakis,,
3035,Hedy Lamarr,11/9/14,1/19/00
3036,Heidi Ewing,,
3037,Heike Makatsch,8/13/71,
3038,Helen Hayes,7/4/24,
3039,Helen Martin,7/23/09,3/25/00
3040,Helen McCrory,8/17/68,
3041,Helena Mattsson,3/30/84,
3042,Helmut Bakaitis,9/26/44,
3043,Henri Garcin,4/11/29,
3044,Henry Alex Rubin,,
3045,Henry Bean,,
3046,Henry Cavill,5/5/83,
3047,Henry Czerny,2/8/59,
3048,Henry Hathaway,1898-03-13,2/11/85
3049,Henry Hobson,,
3050,Henry Ian Cusick,4/17/67,
3051,Henry Jaglom,1/26/38,
3052,Henry Joost,,
3053,Henry King,12/2/43,
3054,Henry Koster,5/1/05,9/21/88
3055,Henry Rollins,2/13/61,
3056,Henry Selick,11/30/52,
3057,Henry Silva,9/15/28,
3058,Henry Simmons,7/1/70,
3059,Henry Thomas,9/9/71,
3060,Herb Freed,,
3061,Herbert Grönemeyer,4/12/56,
3062,Herbert Lom,9/11/17,9/27/12
3063,Herbert Ross,5/13/27,10/9/01
3064,Herbert Russell,,
3065,Herman Koto,,
3066,Hervé Villechaize,4/23/43,9/4/93
3067,Hiam Abbass,11/30/60,
3068,Hideaki Anno,5/22/60,
3069,Hideo Nakata,7/19/61,
3070,Hilary Brougher,,
3071,Hilda Bernard,10/29/20,
3072,Hill Harper,5/17/66,
3073,Hironobu Sakaguchi,11/14/62,
3074,Hiroshi Abe,6/22/64,
3075,Hitoshi Matsumoto,9/8/63,
3076,Ho-Sung Pak,11/6/67,
3077,Hoke Howell,8/27/29,5/9/97
3078,Holland Taylor,1/14/43,
3079,Holly Hunter,3/20/58,
3080,Holly Valance,5/11/83,
3081,Holmes Osborne,11/7/47,
3082,Holt McCallany,9/3/63,
3083,Homayoun Ershadi,,
3084,Hong-jin Na,,
3085,Honglei Sun,8/16/70,
3086,Honor Blackman,8/22/25,
3087,Hope Davis,3/23/64,
3088,Hope Olaide Wilson,8/16/85,
3089,Horatio Sanz,6/4/69,
3090,Howard Caine,1/2/28,12/28/93
3091,Howard Deutch,9/14/50,
3092,Howard Hawks,1896-05-30,12/26/77
3093,Howard Hesseman,2/27/40,
3094,Howard Hughes,,
3095,Howard Keel,4/13/19,11/7/04
3096,Howard Morris,9/4/19,5/21/05
3097,Howard Zieff,10/21/27,2/21/09
3098,Hoyt Axton,3/25/38,10/26/99
3099,Hoyt Yeatman,1/23/55,
3100,Hristo Shopov,1/4/64,
3101,Hsiao-Hsien Hou,4/8/47,
3102,Huck Botko,,
3103,Hudson Leick,5/9/69,
3104,Hue Rhodes,,
3105,Huell Howser,10/18/45,1/7/13
3106,Huey Lewis,7/5/50,
3107,Hugh Bonneville,11/10/63,
3108,Hugh Dillon,5/31/63,
3109,Hugh Ducklow,,
3110,Hugh Griffith,5/30/12,5/14/80
3111,Hugh Hudson,8/25/36,
3112,Hugh Jackman,10/12/68,
3113,Hugh Johnson,,
3114,Hugh Keays-Byrne,5/18/47,
3115,Hugh M. Hefner,4/9/26,
3116,Hugh Mun,9/9/60,
3117,Hugh O'Brian,4/19/25,9/5/16
3118,Hugh O'Conor,4/19/75,
3119,Hugh Wilson,8/21/43,
3120,Hugo Stiglitz,8/28/40,
3121,Hulk Hogan,8/11/53,
3122,Humphrey Bogart,1899-12-25,1/14/57
3123,Hunter Parrish,5/13/87,
3124,Hunter Richards,,
3125,Hutch Dano,5/21/92,
3126,Hye-jeong Kang,1/4/82,
3127,Hye-kyo Song,11/22/81,
3128,Hyung-rae Shim,1/3/58,
3129,Iain Softley,,
3130,Ian Bohen,9/24/76,
3131,Ian Fitzgibbon,,
3132,Ian Gamazon,,
3133,Ian Gomez,12/27/64,
3134,Ian Hart,10/8/64,
3135,Ian Iqbal Rashid,,
3136,Ian McDiarmid,8/11/44,
3137,Ian McNeice,10/2/50,
3138,Ian Mune,,
3139,Ian Richardson,4/7/34,2/9/07
3140,Ian Sharp,11/13/46,
3141,Ian Somerhalder,12/8/78,
3142,Ian Tracey,6/26/64,
3143,Ian Whyte,9/17/71,
3144,Ian Ziering,3/30/64,
3145,Iben Hjejle,3/22/71,
3146,Ice Cube,6/15/69,
3147,Ice-T,2/16/58,
3148,Iddo Goldberg,8/5/75,
3149,Igal Naor,6/25/58,
3150,Igor Jijikine,10/8/65,
3151,Igor Kovalyov,1/17/63,
3152,Igor Zaripov,,
3153,Ike Barinholtz,2/18/77,
3154,Iko Uwais,2/12/83,
3155,Ilene Graff,2/28/49,
3156,Illeana Douglas,7/25/65,
3157,Imelda Staunton,1/9/56,
3158,India de Beaufort,6/27/87,
3159,Indiana Evans,7/27/90,
3160,Indira Varma,5/14/73,
3161,Ingmar Bergman,7/14/18,7/30/07
3162,Ingrid Bolsø Berdal,3/2/80,
3163,Ingrid Thulin,1/27/26,1/7/04
3164,Ingvar Eggert Sigur_sson,11/22/63,
3165,Inna Evlannikova,,
3166,Ioan Gruffudd,10/6/73,
3167,Ion Overman,11/9/76,
3168,Ione Skye,9/4/70,
3169,Ira Sachs,,
3170,Irene Bedard,7/22/67,
3171,Irene Dunne,1898-12-20,9/4/90
3172,Irène Jacob,7/15/66,
3173,Irene Papas,9/3/26,
3174,Irvin Kershner,4/29/23,11/27/10
3175,Irwin Winkler,5/28/31,
3176,Isaac C. Singleton Jr.,,
3177,Isaac Florentine,,
3178,Isaac Hayes,8/20/42,8/10/08
3179,Isaac Hempstead Wright,4/9/99,
3180,Isaach De Bankolé,8/12/57,
3181,Isabel Coixet,4/9/60,
3182,Isabella Rossellini,6/18/52,
3183,Isabelle Adjani,6/27/55,
3184,Isabelle Carré,5/28/71,
3185,Isabelle Huppert,3/16/53,
3186,Isabelle Nanty,1/21/62,
3187,Isabelle Nélisse,,
3188,Isaiah Washington,8/3/63,
3189,Isiah Thomas,4/30/61,
3190,Isiah Whitlock Jr.,9/13/54,
3191,Isild Le Besco,11/22/82,
3192,István Szabó,,
3193,Iulia Ciochina,,
3194,Ivan Barnev,7/15/73,
3195,Ivan Dixon,4/6/31,3/16/08
3196,Ivan Engler,,
3197,Iván Kamarás,12/22/72,
3198,Ivan Kavanagh,,
3199,Ivan Okhlobystin,7/22/66,
3200,Ivan Reitman,10/27/46,
3201,Ivan Sergei,5/7/71,
3202,Ivana Baquero,6/11/94,
3203,Ivana Milicevic,4/26/74,
3204,Ivette Alvarez,,
3205,Izabella Miko,1/21/81,
3206,Izabella Scorupco,6/4/70,
3207,J Blakeson,,
3208,J. Lee Thompson,8/1/14,8/30/02
3209,J. Smith-Cameron,,
3210,J.A. Bayona,,
3211,J.B. Rogers,10/8/10,8/6/98
3212,J.B. Smoove,12/16/65,
3213,J.C. Chandor,,
3214,J.D. Evermore,11/5/68,
3215,J.D. Williams,2/8/32,
3216,J.J. Abrams,6/27/66,
3217,J.J. Cohen,6/22/65,
3218,J.K. Simmons,1/9/55,
3219,J.S. Cardone,10/19/46,
3220,J.T. Walsh,11/24/69,
3221,Jacek Koman,8/15/56,
3222,Jacinda Barrett,8/2/72,
3223,Jack Albertson,6/16/07,11/25/81
3224,Jack Canfield,,
3225,Jack Carson,10/27/10,1/2/63
3226,Jack Conway,1887-07-17,10/11/52
3227,Jack Davenport,3/1/73,
3228,Jack E. Curenton,,
3229,Jack Elam,11/13/20,10/20/03
3230,Jack Guzman,6/21/78,
3231,Jack Hawkins,9/14/10,7/18/73
3232,Jack Heller,,
3233,Jack Kao,4/23/58,
3234,Jack Lord,1894-02-01,8/31/73
3235,Jack McBrayer,5/27/73,
3236,Jack McElhone,,
3237,Jack McGee,2/2/49,
3238,Jack McGraw,,
3239,Jack Nance,12/21/43,12/30/96
3240,Jack O'Connell,8/1/90,
3241,Jack O'Halloran,4/8/43,
3242,Jack Palance,2/18/19,11/10/06
3243,Jack Perez,,
3244,Jack Plotnick,10/30/68,
3245,Jack Reynor,1/23/92,
3246,Jack Sholder,6/8/45,
3247,Jack Smight,3/9/25,9/1/03
3248,Jack Taylor,,
3249,Jack Thompson,8/31/40,
3250,Jack Warden,9/18/20,7/19/06
3251,Jack Wild,9/30/52,3/1/06
3252,Jacki Weaver,5/25/47,
3253,Jackie Burroughs,2/2/39,9/22/10
3254,Jackie Cooper,9/15/22,5/3/11
3255,Jackie Earle Haley,7/14/61,
3256,Jackie Gleason,2/26/16,6/24/87
3257,Jackie Nova,,
3258,Jackson Nicoll,,
3259,Jacky Ido,5/14/77,
3260,Jaco Booyens,,
3261,Jacob Aaron Estes,9/6/72,
3262,Jacob Hopkins,,
3263,Jacob Latimore,8/10/96,
3264,Jacob Pitts,,
3265,Jacob Tremblay,10/5/06,
3266,Jacob Vargas,8/18/71,
3267,Jacob Young,9/10/79,
3268,Jacob Zachar,5/16/86,
3269,Jacqueline Bisset,9/13/44,
3270,Jacqueline Lovell,12/9/74,
3271,Jacqueline MacInnes Wood,4/17/87,
3272,Jacqueline McKenzie,10/24/67,
3273,Jacques Brel,4/8/29,10/9/78
3274,Jacques Gamblin,11/16/57,
3275,Jacques Perrin,7/13/41,
3276,Jada Pinkett Smith,9/18/71,
3277,Jade Kindar-Martin,,
3278,Jaden Klein,,
3279,Jafar Panahi,7/11/60,
3280,Jaime Camil,7/22/73,
3281,Jaime King,4/23/79,
3282,Jaime Zevallos,,
3283,Jake Busey,6/15/71,
3284,Jake Cherry,,
3285,Jake Goldberger,5/12/77,
3286,Jake Gyllenhaal,12/19/80,
3287,Jake Kasdan,10/28/74,
3288,Jake Lacy,,
3289,Jake Lloyd,3/5/89,
3290,Jake Paltrow,9/26/75,
3291,Jake Richardson,3/3/58,
3292,Jake Ryan,,
3293,Jake Sandvig,9/8/86,
3294,Jake Schreier,,
3295,Jake Scott,,
3296,Jake Short,5/30/97,
3297,Jake Weary,2/14/90,
3298,Jake Weber,3/19/64,
3299,Jake Wood,7/12/72,
3300,Jaleel White,11/27/76,
3301,Jamaa Fanaka,9/6/42,4/1/12
3302,Jamal Hill,,
3303,Jamel Debbouze,6/18/75,
3304,James Algar,6/11/12,2/26/98
3305,James Babson,10/24/74,
3306,James Badge Dale,5/1/78,
3307,James Biberi,7/28/65,
3308,James Bidgood,3/28/33,
3309,James Bobin,,
3310,James Bolam,6/16/35,
3311,James Bridges,2/3/36,6/6/93
3312,James Brolin,7/18/40,
3313,James Brown,,
3314,James Burnett,,
3315,James Cagney,1899-07-17,3/30/86
3316,James Callis,,
3317,James Cameron,8/16/54,
3318,James Chalke,,
3319,James Coburn,8/31/28,11/18/02
3320,James Corden,8/22/78,
3321,James Cox,,
3322,James Cullen Bressack,2/29/92,
3323,James D'Arcy,8/24/75,
3324,James David Pasternak,,
3325,James DeBello,6/9/80,
3326,James Deen,2/7/86,
3327,James DeMonaco,,
3328,James Dodson,,
3329,James Doohan,3/3/20,7/20/05
3330,James Drury,4/18/34,
3331,James Duval,9/10/72,
3332,James Eckhouse,2/14/55,
3333,James Fargo,,
3334,James Fleet,3/11/52,
3335,James Foley,12/28/53,
3336,James Fox,5/19/39,
3337,James Frain,3/14/68,
3338,James Franco,4/19/78,
3339,James Frawley,9/29/36,
3340,James Gammon,4/20/40,7/16/10
3341,James Gartner,4/7/28,7/19/14
3342,James Gray,,
3343,James Gunn,8/5/70,
3344,James Hall,,
3345,James Hetfield,8/3/63,
3346,James Huang,1/7/52,
3347,James Isaac,6/5/60,5/6/12
3348,James Ivory,6/7/28,
3349,James Karen,11/28/23,
3350,James Kerwin,10/13/73,
3351,James Kyson,12/13/75,
3352,James L. Brooks,5/9/40,
3353,James Lafferty,7/25/85,
3354,James Lance,5/5/40,
3355,James Le Gros,4/27/62,
3356,James Lew,5/19/67,
3357,James Lipton,9/19/26,
3358,James Lorinz,5/22/64,
3359,James Manera,,
3360,James Mangold,12/16/63,
3361,James Marsh,4/30/63,
3362,James Martin Kelly,9/6/54,
3363,James Mason,5/15/09,7/27/84
3364,James Mather,,
3365,James McCaffrey,,
3366,James McTeigue,,
3367,James Melkonian,4/6/61,
3368,James Morrison,10/30/78,
3369,James Mottern,8/1/69,
3370,James Nesbitt,1/15/65,
3371,James Noble,3/5/22,3/28/16
3372,James Nunn,8/5/70,
3373,James O'Brien,,
3374,James Patrick Stuart,6/16/68,
3375,James Pickens Jr.,10/26/54,
3376,James Ponsoldt,,
3377,James Ransone,6/2/79,
3378,James Read,7/31/53,
3379,James Robertson Justice,6/15/07,7/2/75
3380,James Robinson,,
3381,James Russo,4/23/53,
3382,James Schamus,9/7/59,
3383,James Shigeta,6/17/29,7/28/14
3384,James Toback,11/23/44,
3385,James Tumminia,,
3386,James Tupper,8/4/65,
3387,James Urbaniak,9/17/63,
3388,James Wan,2/26/77,
3389,James Watkins,,
3390,James Whitmore,10/1/21,2/6/09
3391,James Wilcox,,
3392,James With,1/23/67,
3393,James Wolk,3/22/85,
3394,James Wong,,
3395,Jamey Sheridan,7/12/51,
3396,Jami Gertz,10/28/65,
3397,Jamie Babbit,11/16/70,
3398,Jamie Blackley,7/8/91,
3399,Jamie Blanks,,
3400,Jamie Draven,5/14/79,
3401,Jamie Foreman,5/25/58,
3402,Jamie Hector,10/7/75,
3403,Jamie Kennedy,5/25/70,
3404,Jamie Lee Curtis,11/22/58,
3405,Jamie Renée Smith,4/10/87,
3406,Jamie Thraves,,
3407,Jamie Travis,8/13/79,
3408,Jamin Winans,,
3409,Jamison Stalsworth,,
3410,Jan Cornet,2/24/82,
3411,Jan de Bont,10/22/43,
3412,Jan Decleir,2/14/46,
3413,Jan Haley,,
3414,Jan Hooks,4/23/57,10/9/14
3415,Jan-Michael Vincent,7/15/44,
3416,Jane Adams,4/1/65,
3417,Jane Bradbury,,
3418,Jane Campion,4/30/54,
3419,Jane Clark,,
3420,Jane Curtin,9/6/47,
3421,Jane Fonda,12/21/37,
3422,Jane Goodall,4/3/34,
3423,Jane Krakowski,10/11/68,
3424,Jane Wyman,1/5/17,9/10/07
3425,Janeane Garofalo,9/28/64,
3426,Janel Parrish,10/30/88,
3427,Janet Hubert,1/13/56,
3428,Janet Jackson,5/16/66,
3429,Janet Lee Dapper,8/28/77,
3430,Janet Leigh,7/6/27,10/3/04
3431,Janet McTeer,8/5/61,
3432,Janette Armand,2/11/86,
3433,Janine Turner,12/6/62,
3434,Jansen Panettiere,9/25/94,
3435,Janusz Kaminski,6/27/59,
3436,Jaqueline Fleming,9/10/77,
3437,Jared Burke,5/31/79,
3438,Jared Gilman,12/28/98,
3439,Jared Hess,7/18/79,
3440,Jaroslaw Boberek,6/14/63,
3441,Jarrod Bunch,8/9/68,
3442,Jarrod Phillips,,
3443,Jasika Nicole,,
3444,Jasmine Trinca,4/24/81,
3445,Jason Alexander,9/23/59,
3446,Jason Bateman,1/14/69,
3447,Jason Beghe,3/12/60,
3448,Jason Behr,12/30/73,
3449,Jason Burkey,,
3450,Jason Cerbone,11/2/77,
3451,Jason Connery,1/11/63,
3452,Jason Cope,,
3453,Jason Cottle,,
3454,Jason Dixie,,
3455,Jason Douglas,2/14/73,
3456,Jason Eisener,,
3457,Jason Evers,1/2/22,3/13/05
3458,Jason Flemyng,9/25/66,
3459,Jason Friedberg,10/13/71,
3460,Jason George,,
3461,Jason Gray-Stanford,5/19/70,
3462,Jason Hawes,12/27/71,
3463,Jason K. Wixom,,
3464,Jason Kravits,5/28/67,
3465,Jason Lewis,,
3466,Jason London,11/7/72,
3467,Jason Mantzoukas,12/18/72,
3468,Jason Marsden,1/3/75,
3469,Jason Maza,4/24/87,
3470,Jason Mewes,6/12/74,
3471,Jason Miller,1/5/72,
3472,Jason Momoa,8/1/79,
3473,Jason Moore,10/22/70,
3474,Jason Naumann,,
3475,Jason Patric,6/17/66,
3476,Jason Priestley,8/28/69,
3477,Jason Reitman,10/19/77,
3478,Jason Ritter,2/17/80,
3479,Jason Robards,7/26/22,12/26/00
3480,Jason Scott Lee,11/19/66,
3481,Jason Spevack,,
3482,Jason Statham,7/26/67,
3483,Jason Stone,11/25/81,
3484,Jason Stuart,1/13/59,
3485,Jason Tobin,,
3486,Jason Trost,,
3487,Jason Weaver,7/18/79,
3488,Jason Zada,,
3489,Jasper Cole,,
3490,Jasper Johal,,
3491,Jasper Levine,,
3492,Jaume Balagueró,11/2/68,
3493,Jaume Collet-Serra,3/23/74,
3494,Javed Jaffrey,12/4/63,
3495,Javed Sheikh,10/8/54,
3496,Javier Botet,7/30/77,
3497,Jay Adams,,
3498,Jay Alaimo,,
3499,Jay Chandrasekhar,4/9/68,
3500,Jay Duplass,3/7/73,
3501,Jay Hernandez,2/20/78,
3502,Jay Laga'aia,9/10/63,
3503,Jay Leno,4/28/50,
3504,Jay Levey,,
3505,Jay Mohr,8/23/70,
3506,Jay O. Sanders,4/16/53,
3507,Jay Oliva,,
3508,Jay Paulson,5/29/78,
3509,Jay R. Ferguson,7/25/74,
3510,Jay Roach,6/14/57,
3511,Jay Russell,1/10/60,
3512,Jaya Bhaduri,4/9/48,
3513,Jaycee Chan,12/3/82,
3514,Jaymes Butler,11/13/69,
3515,Jayne Eastwood,12/17/46,
3516,Je-kyu Kang,12/23/62,
3517,Jean Arthur,10/17/00,6/19/91
3518,Jean Caffeine,,
3519,Jean Harlow,3/3/11,6/7/37
3520,Jean Louisa Kelly,3/9/72,
3521,Jean Marsh,7/1/34,
3522,Jean Peters,10/15/26,10/13/00
3523,Jean Pierre Bergeron,,
3524,Jean Simmons,1/31/29,1/22/10
3525,Jean Smart,9/13/51,
3526,Jean Stapleton,1/19/23,5/31/13
3527,Jean-Baptiste Maunier,12/22/90,
3528,Jean-Claude Dreyfus,2/18/46,
3529,Jean-Claude Lecas,5/2/53,
3530,Jean-François Richet,7/2/66,
3531,Jean-Hugues Anglade,7/29/55,
3532,Jean-Jacques Annaud,10/1/43,
3533,Jean-Jacques Mantello,,
3534,Jean-Louis Blondeau,,
3535,Jean-Louis Trintignant,12/11/30,
3536,Jean-Luc Godard,12/3/30,
3537,Jean-Marc Barr,9/27/60,
3538,Jean-Marc Vallée,3/9/63,
3539,Jean-Marie Poiré,7/10/45,
3540,Jean-Paul Belmondo,4/9/33,
3541,Jean-Paul Rappeneau,4/8/32,
3542,Jean-Pierre Darroussin,12/4/53,
3543,Jean-Pierre Jeunet,9/3/53,
3544,Jean-Pierre Léaud,5/28/44,
3545,Jeanette Branch,,
3546,Jeanne Crain,5/25/25,12/14/03
3547,Jeanne Moreau,1/23/28,
3548,Jeanne Neilson,,
3549,Jeanne Tripplehorn,6/10/63,
3550,Jeannetta Arnette,7/29/54,
3551,Jeannot Szwarc,11/21/39,
3552,Jeb Stuart,1/21/56,
3553,Jed Brophy,,
3554,Jee-woon Kim,5/27/64,
3555,Jeff Ament,3/10/63,
3556,Jeff Anderson,4/21/70,
3557,Jeff Bennett,10/2/62,
3558,Jeff Bridges,12/4/49,
3559,Jeff Burr,,
3560,Jeff Conaway,10/5/50,5/27/11
3561,Jeff Crook,,
3562,Jeff Delaney,,
3563,Jeff DeRocker,,
3564,Jeff Dowd,,
3565,Jeff Fahey,11/29/52,
3566,Jeff Franklin,1/21/55,
3567,Jeff Garlin,6/5/62,
3568,Jeff Jacob,6/27/66,
3569,Jeff Kanew,12/16/44,
3570,Jeff Kober,12/18/53,
3571,Jeff Lima,,
3572,Jeff Lowell,,
3573,Jeff Nathanson,10/12/65,
3574,Jeff Nichols,12/7/78,
3575,Jeff Perry,8/16/55,
3576,Jeff Schaffer,,
3577,Jeff Seymour,,
3578,Jeff Tremaine,,
3579,Jeff Wadlow,3/2/76,
3580,Jeffrey Combs,9/9/54,
3581,Jeffrey DeMunn,4/25/47,
3582,Jeffrey Dover,,
3583,Jeffrey Falcon,1/1/62,
3584,Jeffrey Frost,,
3585,Jeffrey Garcia,5/3/77,
3586,Jeffrey Jones,,
3587,Jeffrey Markle,,
3588,Jeffrey St. Jules,,
3589,Jeffrey W. Byrd,,
3590,Jeffrey W. Jenkins,,
3591,Jeffrey Weissman,10/2/58,
3592,Jehane Noujaim,5/17/74,
3593,Jelena Jovanova,10/21/84,
3594,Jelena Nik,,
3595,Jem Cohen,,
3596,Jemima Kirke,4/26/85,
3597,Jemima Rooper,10/24/81,
3598,Jemima West,8/11/87,
3599,Jemma Curran,,
3600,Jenette Goldstein,2/4/60,
3601,Jenifer Lewis,1/25/57,
3602,Jenna Boyd,3/4/93,
3603,Jenna Elfman,9/30/71,
3604,Jenna Fischer,3/7/74,
3605,Jenni Rivera,7/2/69,12/9/12
3606,Jennie Jacques,2/28/89,
3607,Jennifer Butler,5/11/66,
3608,Jennifer Ehle,12/29/69,
3609,Jennifer Esposito,4/11/73,
3610,Jennifer Finnigan,8/22/79,
3611,Jennifer Flackett,,
3612,Jennifer Freeman,10/20/85,
3613,Jennifer Garner,4/17/72,
3614,Jennifer Grey,3/26/60,
3615,Jennifer Hale,1/1/72,
3616,Jennifer Hall,10/20/77,
3617,Jennifer Hudson,9/12/81,
3618,Jennifer Jason Leigh,2/5/62,
3619,Jennifer Jones,12/4/42,
3620,Jennifer Lafleur,9/8/79,
3621,Jennifer Landa,,
3622,Jennifer Lawrence,8/15/90,
3623,Jennifer Lee Wiggins,,
3624,Jennifer Rubin,4/3/62,
3625,Jennifer Saunders,7/6/58,
3626,Jennifer Schwalbach Smith,4/7/71,
3627,Jennifer Sky,,
3628,Jennifer Tung,5/3/73,
3629,Jennifer Ulrich,10/18/84,
3630,Jennifer Westfeldt,2/2/70,
3631,Jennifer Wynne Farmer,,
3632,Jennifer Yuh Nelson,5/7/72,
3633,Jenny Agutter,12/20/52,
3634,Jenny McCarthy,11/1/72,
3635,Jenny O'Hara,2/24/42,
3636,Jenny Slate,3/25/82,
3637,Jensen Ackles,3/1/78,
3638,Jere Burns,12/4/69,
3639,Jeremy Brett,11/3/33,9/12/95
3640,Jeremy Brock,,
3641,Jeremy Crutchley,,
3642,Jeremy Davies,10/8/69,
3643,Jeremy Degruson,,
3644,Jeremy Howard,6/12/81,
3645,Jeremy Irvine,,
3646,Jeremy Jordan,2/20/78,
3647,Jeremy Kemp,1/3/35,
3648,Jeremy Leven,,
3649,Jeremy Northam,12/1/61,
3650,Jeremy Owen,,
3651,Jeremy Renner,1/7/71,
3652,Jeremy Sande,,
3653,Jeremy Saulnier,6/10/76,
3654,Jeremy Shada,1/21/97,
3655,Jeremy Sims,1/10/66,
3656,Jeremy W. Auman,,
3657,Jeri Ryan,2/22/68,
3658,Jérôme Deschamps,,
3659,Jerome Elston Scott,,
3660,Jerome Robbins,10/11/18,7/29/98
3661,Jérôme Salle,,
3662,Jerry Belson,7/8/38,10/10/06
3663,Jerry Brown,,
3664,Jerry Dugan,,
3665,Jerry Ferrara,11/25/79,
3666,Jerry Jameson,11/26/34,
3667,Jerry Mathers,6/2/48,
3668,Jerry Nelson,7/10/34,8/23/12
3669,Jerry Rees,,
3670,Jerry Stiller,6/8/27,
3671,Jerry Zaks,9/7/46,
3672,Jerry Zucker,3/11/50,
3673,Jesper Christensen,5/16/48,
3674,Jess Harnell,12/23/63,
3675,Jess Weixler,6/8/81,
3676,Jessalyn Gilsig,11/30/71,
3677,Jesse Borrego,8/1/62,
3678,Jesse Dylan,1/6/66,
3679,Jesse Garcia,,
3680,Jesse Hutch,,
3681,Jesse James,,
3682,Jesse Jane,7/10/80,
3683,Jesse L. Martin,1/18/69,
3684,Jesse McCartney,4/9/87,
3685,Jesse Moss,,
3686,Jesse Peretz,,
3687,Jesse Tyler Ferguson,10/22/75,
3688,Jesse Vaughan,,
3689,Jesse Vint,,
3690,Jessica Barden,7/21/92,
3691,Jessica Bendinger,11/10/66,
3692,Jessica Bowman,11/26/80,
3693,Jessica Capshaw,8/9/76,
3694,Jessica Chastain,3/24/77,
3695,Jessica Collins,4/1/71,
3696,Jessica De Gouw,2/15/88,
3697,Jessica Dublin,7/9/18,7/21/12
3698,Jessica Duffy,9/8/76,
3699,Jessica Hecht,6/28/65,
3700,Jessica Lindsey,8/15/78,
3701,Jessica Lowndes,11/8/88,
3702,Jessica Mauboy,8/4/89,
3703,Jessica McNamee,,
3704,Jessica Paré,,
3705,Jessica Raine,,
3706,Jessica Simpson,7/10/80,
3707,Jessica Szohr,3/31/85,
3708,Jessica Tandy,6/7/09,9/11/94
3709,Jessica Walter,1/31/41,
3710,Jessica Wesson,,
3711,Jessie Nelson,,
3712,Jessie T. Usher,2/29/92,
3713,Jessika Van,5/28/85,
3714,Jessy Schram,1/15/86,
3715,Jessy Terrero,7/3/75,
3716,Jesuíta Barbosa,,
3717,Jet Li,4/26/63,
3718,Jeta Amata,,
3719,Jez Butterworth,,
3720,Ji-hyun Jun,10/30/81,
3721,Ji-tae Yu,4/13/76,
3722,Ji-won Ha,6/28/78,
3723,Jiao Xu,8/5/97,
3724,Jill Clayburgh,4/30/44,11/5/10
3725,Jill Flint,11/25/77,
3726,Jill Hennessy,11/25/68,
3727,Jill Sprecher,,
3728,Jill St. John,8/19/40,
3729,Jill Talley,12/19/62,
3730,Jillian Estell,,
3731,Jillian Murray,6/4/84,
3732,Jim Abrahams,5/10/44,
3733,Jim Amatulli,,
3734,Jim Backus,2/25/13,7/3/89
3735,Jim Belushi,6/15/54,
3736,Jim Broadbent,5/24/49,
3737,Jim Byrnes,9/22/48,
3738,Jim Carter,8/19/48,
3739,Jim Chuchu,,
3740,Jim Cody Williams,,
3741,Jim Fall,9/19/74,
3742,Jim Field Smith,2/20/79,
3743,Jim Gaffigan,7/7/66,
3744,Jim Gillespie,,
3745,Jim Goddard,2/2/36,6/17/13
3746,Jim Hanon,,
3747,Jim Henson,9/24/36,5/16/90
3748,Jim Issa,,
3749,Jim Jarmusch,1/22/53,
3750,Jim Meskimen,9/10/59,
3751,Jim Mickle,,
3752,Jim Norton,1/4/38,
3753,Jim O'Heir,2/4/62,
3754,Jim Parrack,2/8/81,
3755,Jim Parsons,3/24/73,
3756,Jim Rash,7/15/71,
3757,Jim Sheridan,2/6/49,
3758,Jim Siedow,6/12/20,11/20/03
3759,Jim Sonzero,,
3760,Jim Sturgess,5/16/78,
3761,Jim Varney,6/15/49,2/10/00
3762,Jimi Hendrix,11/27/42,9/18/70
3763,Jimi Mistry,,
3764,Jimmy Bennett,2/9/96,
3765,Jimmy Fallon,9/19/74,
3766,Jimmy Hayward,,
3767,Jimmy Jean-Louis,8/8/68,
